MV-Neustrelitz,53.3592,13.0717
MV-Parchim,53.4244,11.8475
MV-Ludwigslust,53.3253,11.4986
MV-Hagenow,53.4297,11.1875
SN-Bautzen,51.1814,14.4242
SN-Hoyerswerda,51.4350,14.2533
SN-Kamenz,51.2667,14.0917
SN-Loebau,51.0950,14.6644
SN-Zittau,50.8975,14.8081
SN-Goerlitz-Stadt,51.1539,14.9916
SN-Niesky,51.2939,14.8244
SN-Pirna,50.9583,13.9389
SN-Sebnitz,50.9675,14.2683
SN-Freital,51.0044,13.6481
SN-Meissen,51.1633,13.4719
SN-Riesa,51.3083,13.2942
SN-Grossenhain,51.2906,13.5258
SN-Freiberg,50.9100,13.3422
SN-Doebeln,51.1228,13.1158
SN-Mittweida,50.9858,12.9789
SN-Rochlitz,51.0533,12.7900
SN-Borna,51.1219,12.4942
SN-Grimma,51.2386,12.7228
SN-Wurzen,51.3739,12.7400
SN-Torgau,51.5611,12.9961
SN-Eilenburg,51.4628,12.6336
SN-Delitzsch,51.5269,12.3447
SN-Markkleeberg,51.2814,12.3686
SN-Zwickau,50.7167,12.4925
SN-Glauchau,50.8214,12.5436
SN-Crimmitschau,50.8167,12.3833
SN-Werdau,50.7333,12.3833
SN-Plauen,50.4946,12.1383
SN-Reichenbach-Vogt,50.6172,12.3033
SN-Auerbach-Vogt,50.5044,12.4011
SN-Klingenthal,50.3567,12.4675
SN-Annaberg,50.5814,12.9931
SN-Aue,50.5894,12.7019
SN-Schneeberg,50.5942,12.6450
SN-Marienberg,50.6519,13.1622
SN-Schwarzenberg,50.5364,12.7872
ST-Magdeburg,52.1205,11.6276
ST-Wernigerode,51.8350,10.7833
ST-Halberstadt,51.8961,11.0492
ST-Quedlinburg,51.7917,11.1383
ST-Aschersleben,51.7544,11.4569
ST-Bernburg,51.7958,11.7339
ST-Schoenebeck,52.0181,11.7333
ST-Stassfurt,51.8533,11.5828
ST-Calbe,51.9100,11.7783
ST-Burg,52.2719,11.8589
ST-Genthin,52.4053,12.1561
ST-Tangermuende,52.5469,11.9683
ST-Stendal,52.6056,11.8500
ST-Salzwedel,52.8528,11.1497
ST-Gardelegen,52.5253,11.4014
ST-Haldensleben,52.2900,11.4150
ST-Wolmirstedt,52.2553,11.6253
ST-Oschersleben,52.0306,11.2333
ST-Wanzleben,52.0586,11.4344
ST-Lutherstadt-Wbg,51.8667,12.6500
ST-Dessau,51.8333,12.2333
ST-Roslau,51.7989,12.2519
ST-Koethen,51.7517,11.9700
ST-Bitterfeld-Wolfen,51.6244,12.3294
ST-Halle-Saale,51.4825,11.9700
ST-Merseburg,51.3567,11.9911
ST-Eisleben,51.5275,11.5450
ST-Sangerhausen,51.4719,11.2961
ST-Naumburg-Saale,51.1500,11.8167
ST-Weissenfels,51.2003,11.9686
ST-Zeitz,51.0489,12.1339
ST-Hettstedt,51.6489,11.5103
TH-Erfurt,50.9848,11.0299
TH-Weimar,50.9794,11.3236
TH-Apolda,51.0269,11.5158
TH-Soemmerda,51.1614,11.1117
TH-Arnstadt,50.8369,10.9525
TH-Ilmenau,50.6839,10.9133
TH-Gotha,50.9483,10.7028
TH-Eisenach,50.9756,10.3214
TH-Bad-Salzungen,50.8128,10.2406
TH-Meiningen,50.5667,10.4169
TH-Suhl,50.6794,10.7064
TH-Schmalkalden,50.7194,10.4519
TH-Hildburghausen,50.4283,10.7339
TH-Sonneberg,50.3603,11.1664
TH-Coburg-Grenze,50.4711,11.1428
TH-Saalfeld,50.6494,11.3633
TH-Rudolstadt,50.7194,11.3375
TH-Poessneck,50.6961,11.5953
TH-Schleiz,50.5728,11.8128
TH-Bad-Lobenstein,50.4458,11.6394
TH-Greiz,50.6586,12.1989
TH-Zeulenroda,50.6453,11.9842
TH-Gera,50.8806,12.0794
TH-Altenburg,50.9847,12.4361
TH-Jena,50.9272,11.5879
TH-Eisenberg,50.9697,11.9000
TH-Stadtroda,50.8606,11.7239
TH-Sondershausen,51.3686,10.8714
TH-Nordhausen,51.4969,10.7906
TH-Heiligenstadt,51.3792,10.1325
TH-Muehlhausen,51.2089,10.4517
TH-Bad-Langensalza,51.1078,10.6478
TH-Artern,51.3697,11.2922
BB-Templin,53.1233,13.5008
BB-Angermuende,53.0167,14.0000
BB-Luebbenau,51.8667,13.9667
MV-Boizenburg,53.3736,10.7239
MV-Grevesmuehlen,53.8617,11.1797
ST-Stolberg,51.5747,10.9594
SN-Bad-Schandau,50.9100,14.1644
TH-Sonneberg-Sued,50.3500,11.1750
HE-Oberursel,50.2031,8.5781
HE-Friedrichsdorf,50.2517,8.6442
HE-Koenigstein,50.1808,8.4683
HE-Kronberg,50.1856,8.5172
HE-Bad-Soden-Hoch,50.1497,8.5050
HE-Steinbach-Tau,50.1731,8.5800
HE-Usingen,50.3361,8.5350
HE-Wehrheim,50.3014,8.5675
HE-Neu-Anspach,50.3017,8.4928
HE-Glashuetten,50.1903,8.4083
HE-Schmitten,50.2742,8.4150
HE-Weilrod,50.3531,8.4197
HE-Graevenwiesbach,50.3850,8.4892
HE-Eppstein,50.1392,8.3992
HE-Eschborn,50.1431,8.5675
HE-Floersheim,50.0150,8.4297
HE-Hattersheim,50.0703,8.4844
HE-Hochheim,50.0117,8.3536
HE-Kelkheim,50.1372,8.4544
HE-Kriftel,50.0819,8.4639
HE-Liederbach,50.1111,8.4839
HE-Schwalbach-Ts,50.1542,8.5408
HE-Sulzbach-Ts,50.1383,8.5253
HE-Bad-Schwalbach,50.1389,8.0731
HE-Geisenheim,49.9839,7.9669
HE-Niedernhausen,50.1697,8.3192
HE-Oestrich-Winkel,50.0042,8.0306
HE-Ruedesheim-Rh,49.9842,7.9217
HE-Taunusstein,50.1450,8.1503
HE-Walluf,50.0211,8.1664
HE-Aarbergen,50.2706,8.0731
HE-Heidenrod,50.2247,8.0367
HE-Hohenstein,50.1731,8.1003
HE-Huenstetten,50.2225,8.2322
HE-Lorch,50.0492,7.8128
HE-Schlangenbad,50.1086,8.0958
HE-Waldems,50.2522,8.3331
HE-Bad-Nauheim,50.3683,8.7406
HE-Butzbach,50.4361,8.6700
HE-Karben,50.2317,8.7672
HE-Niddatal,50.2986,8.7928
HE-Nidda,50.4156,9.0083
HE-Rosbach,50.3014,8.7053
HE-Echzell,50.3919,8.8867
HE-Muenzenberg,50.4581,8.7733
HE-Reichelsheim-We,50.3681,8.8378
HE-Woelfersheim,50.3956,8.8189
HE-Florstadt,50.3325,8.8678
HE-Ortenberg,50.3650,9.0717
HE-Gedern,50.4256,9.1986
